feminine,masculine,english
operadora,operador,operator
abogada,abogado,lawyer
arquitecta,arquitecto,architect
ingeniera,ingeniero,engineer
médica,médico,doctor
enfermera,enfermero,nurse
profesora,profesor,teacher
maestra,maestro,schoolteacher
directora,director,director
administradora,administrador,administrator
contadora,contador,accountant
secretaria,secretario,secretary
cajera,cajero,cashier
vendedora,vendedor,salesperson
dependienta,dependiente,shop assistant
camarera,camarero,waiter
cocinera,cocinero,cook
panadera,panadero,baker
pastelera,pastelero,pastry chef
carnicera,carnicero,butcher
peluquera,peluquero,hairdresser
barbera,barbero,barber
jardinera,jardinero,gardener
granjera,granjero,farmer
ganadera,ganadero,livestock farmer
pescadora,pescador,fisher
cazadora,cazador,hunter
conductora,conductor,driver
camionera,camionero,truck driver
aviadora,aviador,pilot
marinera,marinero,sailor
bombera,bombero,firefighter
soldada,soldado,soldier
capitana,capitán,captain
coronela,coronel,colonel
jueza,juez,judge
fiscala,fiscal,prosecutor
notaria,notario,notary
diputada,diputado,deputy
senadora,senador,senator
ministra,ministro,minister
alcaldesa,alcalde,mayor
presidenta,presidente,president
gerenta,gerente,manager
jefa,jefe,boss
coordinadora,coordinador,coordinator
supervisora,supervisor,supervisor
inspectora,inspector,inspector
investigadora,investigador,researcher
científica,científico,scientist
química,químico,chemist
física,físico,physicist
bióloga,biólogo,biologist
matemática,matemático,mathematician
socióloga,sociólogo,sociologist
psicóloga,psicólogo,psychologist
farmacéutica,farmacéutico,pharmacist
veterinaria,veterinario,veterinarian
cirujana,cirujano,surgeon
cardióloga,cardiólogo,cardiologist
técnica,técnico,technician
mecánica,mecánico,mechanic
fontanera,fontanero,plumber
carpintera,carpintero,carpenter
herrera,herrero,blacksmith
albañila,albañil,bricklayer
pintora,pintor,painter
escultora,escultor,sculptor
diseñadora,diseñador,designer
fotógrafa,fotógrafo,photographer
redactora,redactor,editor
escritora,escritor,writer
traductora,traductor,translator
actriz,actor,actor
bailarina,bailarín,dancer
música,músico,musician
compositora,compositor,composer
directora de orquesta,director de orquesta,conductor
entrenadora,entrenador,coach
nadadora,nadador,swimmer
corredora,corredor,runner
jugadora,jugador,player
bibliotecaria,bibliotecario,librarian
archivera,archivero,archivist
mensajera,mensajero,messenger
repartidora,repartidor,delivery worker
limpiadora,limpiador,cleaner
cuidadora,cuidador,caregiver
niñera,niñero,nanny
costurera,costurero,sewer
zapatera,zapatero,shoemaker
joyera,joyero,jeweler
lavandera,lavandero,laundry worker
relojera,relojero,watchmaker
tapicera,tapicero,upholsterer
minera,minero,miner
obrera,obrero,worker
peona,peón,laborer
leñadora,leñador,woodcutter
cartera,cartero,mail carrier
