template type,representative template
Importance,El/La [NOUN] es importante en este contexto.
Familiarity,Un/Una [NOUN] es conocido/a en esta situación.
Observation,Se observa el/la [NOUN] en varios ejemplos.
Presence,El/La [NOUN] sigue presente en el texto.
Neutral mention,Este/Esta [NOUN] se menciona de forma neutra.
Possibility,Un/Una [NOUN] puede ser nuevo/a o antiguo/a.
Description,El documento describe el/la [NOUN] sin valoración particular.
Centrality,En esta frase, el/la [NOUN] aparece como un elemento central.
Utility,Este/Esta [NOUN] es útil para el análisis.
Comparison,Se puede comparar el/la [NOUN] con otros elementos similares.
