language,model,method,raw_alignment,clean_alignment,delta
french,french_camembert,Controlled-unweighted,0.6424201130867004,0.6475483775138855,0.005128264427185059
french,french_camembert,Natural-unweighted,0.6424201130867004,0.6539018154144287,0.011481702327728271
french,french_camembert,Controlled-weighted,0.6424201130867004,0.6475483775138855,0.005128264427185059
french,french_camembert,Natural-weighted,0.6424201130867004,0.6539018154144287,0.011481702327728271
french,multilingual_mbert,Controlled-unweighted,0.6335985064506531,0.6311561465263367,-0.0024423599243164062
french,multilingual_mbert,Natural-unweighted,0.6335985064506531,0.6291147470474243,-0.00448375940322876
french,multilingual_mbert,Controlled-weighted,0.6335985064506531,0.6311561465263367,-0.0024423599243164062
french,multilingual_mbert,Natural-weighted,0.6335985064506531,0.6291147470474243,-0.00448375940322876
french,multilingual_xlmr,Controlled-unweighted,0.9927366971969604,0.9929196238517761,0.00018292665481567383
french,multilingual_xlmr,Natural-unweighted,0.9927366971969604,0.9929081797599792,0.00017148256301879883
french,multilingual_xlmr,Controlled-weighted,0.9927366971969604,0.9929196238517761,0.00018292665481567383
french,multilingual_xlmr,Natural-weighted,0.9927366971969604,0.9929081797599792,0.00017148256301879883
spanish,multilingual_mbert,Controlled-unweighted,0.6597274541854858,0.6570667028427124,-0.0026607513427734375
spanish,multilingual_mbert,Natural-unweighted,0.6597274541854858,0.6566296815872192,-0.0030977725982666016
spanish,multilingual_mbert,Controlled-weighted,0.6597274541854858,0.6570667028427124,-0.0026607513427734375
spanish,multilingual_mbert,Natural-weighted,0.6597274541854858,0.6566296815872192,-0.0030977725982666016
spanish,multilingual_xlmr,Controlled-unweighted,0.9943675398826599,0.9944467544555664,7.921457290649414e-05
spanish,multilingual_xlmr,Natural-unweighted,0.9943675398826599,0.9944525957107544,8.505582809448242e-05
spanish,multilingual_xlmr,Controlled-weighted,0.9943675398826599,0.9944467544555664,7.921457290649414e-05
spanish,multilingual_xlmr,Natural-weighted,0.9943675398826599,0.9944525957107544,8.505582809448242e-05
spanish,spanish_beto,Controlled-unweighted,0.8063746094703674,0.8060925602912903,-0.00028204917907714844
spanish,spanish_beto,Natural-unweighted,0.8063746094703674,0.8055962324142456,-0.0007783770561218262
spanish,spanish_beto,Controlled-weighted,0.8063746094703674,0.8060925602912903,-0.00028204917907714844
spanish,spanish_beto,Natural-weighted,0.8063746094703674,0.8055962324142456,-0.0007783770561218262
