language,base_model,method,gap_mean,gap_std,n_folds,rank
french,CamemBERT,Controlled-centroid,3.0524050816893575e-05,1.7763399073818793e-05,5,1.0
french,CamemBERT,Natural-centroid,0.00013272981159384,9.89557085246785e-06,5,2.0
french,XLM-R,Natural-centroid,1.2179603800177575e-06,8.828026984363815e-07,5,1.0
french,XLM-R,Controlled-centroid,1.3292068615555762e-06,1.6144405309417705e-07,5,2.0
french,mBERT,Controlled-centroid,1.5054998220875859e-05,6.986645343597614e-06,5,1.0
french,mBERT,Natural-centroid,1.5177438035607338e-05,1.5801810214219327e-05,5,2.0
spanish,BETO,Controlled-centroid,7.683341391384601e-06,1.358069901238883e-06,5,1.0
spanish,BETO,Natural-centroid,1.0957475751638412e-05,2.8907510519011142e-06,5,2.0
spanish,XLM-R,Natural-centroid,1.7787329852581025e-06,8.894588443044027e-07,5,1.0
spanish,XLM-R,Controlled-centroid,2.6119407266378404e-06,1.3611196128863708e-06,5,2.0
spanish,mBERT,Natural-centroid,8.766865357756615e-06,5.414423708293583e-06,5,1.0
spanish,mBERT,Controlled-centroid,1.4679087325930595e-05,6.484942829892027e-06,5,2.0
