language,model,base_model,context,weight_variant,delta_noun_reduction,delta_occ_preservation,delta_gtradeoff,delta_htradeoff
french,french_camembert,CamemBERT,Controlled,mean,-0.08959093269929597,0.06667823216447522,-0.005909983107314276,-0.0004039056209278469
french,french_camembert,CamemBERT,Controlled,median,-0.08418915729757437,0.06525967184414705,-0.004023416718957784,0.0013777834366223152
french,french_camembert,CamemBERT,Natural,mean,-0.13298867705511408,0.10302423923008941,-0.005760485741241772,0.0033577135199006625
french,french_camembert,CamemBERT,Natural,median,-0.12728939740004297,0.10274895856212063,-0.003105253485693238,0.00595622407345997
french,multilingual_mbert,mBERT,Controlled,mean,-0.04603005622684353,0.020248551016602834,-0.009807192635038375,-0.006754086476452037
french,multilingual_mbert,mBERT,Controlled,median,-0.05212150600879595,0.021857849076396207,-0.011770948453299623,-0.008442267290144967
french,multilingual_mbert,mBERT,Natural,mean,-0.07430519570070793,0.03235716999400928,-0.016098254228644526,-0.01127117496500607
french,multilingual_mbert,mBERT,Natural,median,-0.08458844491713202,0.03540069783173694,-0.019333399035464494,-0.014123434974427918
french,multilingual_xlmr,XLM-R,Controlled,mean,-0.0013373801761653592,0.0008179192012354175,-0.0001272569142138913,3.136339433162938e-06
french,multilingual_xlmr,XLM-R,Controlled,median,0.00039869519630841843,0.0011688998772839687,0.0008346924282713886,0.0008848221407852241
french,multilingual_xlmr,XLM-R,Natural,mean,0.0021359857623820533,0.002844755517036557,0.0025536625300505156,0.0026157957579044933
french,multilingual_xlmr,XLM-R,Natural,median,0.004147064341182394,0.003323927003728966,0.0037210477215523508,0.003706418050344773
spanish,multilingual_mbert,mBERT,Controlled,mean,-0.06065012225294086,0.018896210523839274,-0.01745263544492759,-0.014057158022074967
spanish,multilingual_mbert,mBERT,Controlled,median,-0.058124095483575666,0.018043203633975935,-0.016722890705042737,-0.013433707180008136
spanish,multilingual_mbert,mBERT,Natural,mean,-0.10772876388844033,0.028359829048067553,-0.036317221528817445,-0.03296569788135384
spanish,multilingual_mbert,mBERT,Natural,median,-0.10460121637716713,0.027470235194075432,-0.03522732006748441,-0.0319048357490902
spanish,multilingual_xlmr,XLM-R,Controlled,mean,0.00029565421912780554,-0.009731889548111994,-0.005116613588617036,-0.005512615679908461
spanish,multilingual_xlmr,XLM-R,Controlled,median,0.0009576301693332567,-0.009655835702309545,-0.004769710359797785,-0.005187652764065853
spanish,multilingual_xlmr,XLM-R,Natural,mean,-0.001371657152553829,-0.00818740333601442,-0.00496251748758092,-0.005144773970048977
spanish,multilingual_xlmr,XLM-R,Natural,median,-0.0004191979186292105,-0.008015384056536123,-0.0044184276126728594,-0.004618775235397998
spanish,spanish_beto,BETO,Controlled,mean,-0.061246382104176766,0.0037170813725043717,-0.028358096329546223,-0.027951782840497374
spanish,spanish_beto,BETO,Controlled,median,-0.06782463863197918,0.0037199519220676436,-0.031661795359485656,-0.031271480177783806
spanish,spanish_beto,BETO,Natural,mean,-0.13480307300072436,0.011050934096685228,-0.06288844922905745,-0.06389792664358251
spanish,spanish_beto,BETO,Natural,median,-0.15088302087961747,0.01199276366249602,-0.07096924273769545,-0.07248811958398182
